node1,node2
31.0,706.0
97.0,717.0
24.0,442.0
24.0,451.0
270.0,788.0
174.0,463.0
174.0,756.0
42.0,784.0
58.0,367.0
58.0,340.0
58.0,552.0
58.0,753.0
58.0,429.0
58.0,619.0
58.0,378.0
114.0,784.0
132.0,674.0
105.0,430.0
53.0,290.0
53.0,342.0
53.0,447.0
53.0,766.0
117.0,535.0
280.0,796.0
280.0,565.0
280.0,458.0
280.0,585.0
280.0,795.0
280.0,449.0
280.0,752.0
280.0,590.0
5.0,422.0
96.0,505.0
81.0,307.0
266.0,668.0
139.0,549.0
121.0,340.0
55.0,797.0
55.0,452.0
27.0,774.0
27.0,724.0
83.0,714.0
216.0,539.0
140.0,548.0
211.0,550.0
248.0,683.0
248.0,612.0
64.0,552.0
45.0,752.0
45.0,774.0
45.0,616.0
45.0,598.0
56.0,639.0
47.0,575.0
47.0,581.0
47.0,411.0
47.0,686.0
47.0,482.0
47.0,389.0
47.0,368.0
47.0,481.0
47.0,436.0
47.0,801.0
47.0,577.0
47.0,702.0
220.0,514.0
254.0,305.0
263.0,289.0
119.0,490.0
89.0,307.0
95.0,289.0
32.0,628.0
39.0,771.0
39.0,604.0
279.0,309.0
222.0,622.0
113.0,327.0
159.0,597.0
78.0,653.0
78.0,728.0
78.0,433.0
78.0,466.0
203.0,752.0
239.0,766.0
239.0,620.0
239.0,342.0
209.0,578.0
209.0,773.0
209.0,594.0
209.0,620.0
209.0,472.0
156.0,715.0
156.0,579.0
156.0,292.0
51.0,446.0
25.0,774.0
257.0,433.0
257.0,614.0
120.0,679.0
151.0,400.0
97.0,662.0
74.0,348.0
124.0,342.0
174.0,607.0
42.0,745.0
58.0,698.0
58.0,297.0
58.0,406.0
58.0,391.0
58.0,772.0
58.0,654.0
58.0,486.0
58.0,589.0
58.0,670.0
105.0,383.0
105.0,346.0
105.0,315.0
105.0,424.0
105.0,636.0
105.0,682.0
105.0,462.0
105.0,554.0
105.0,499.0
53.0,720.0
280.0,396.0
280.0,674.0
280.0,436.0
280.0,325.0
280.0,305.0
280.0,507.0
280.0,567.0
280.0,656.0
280.0,578.0
280.0,482.0
280.0,538.0
280.0,698.0
280.0,648.0
207.0,449.0
48.0,297.0
210.0,624.0
118.0,304.0
127.0,457.0
199.0,624.0
121.0,774.0
121.0,741.0
121.0,698.0
121.0,589.0
121.0,301.0
55.0,589.0
55.0,608.0
