index,rna
629,miR-23a-3p
630,miR-204-3p
631,miR-142-3p
632,miR-495-3p
633,miR-512-3p
634,miR-222-5p
635,miR-619-5p
636,miR-22-5p
637,miR-203*
638,miR-26a-5p
639,miR-224
640,miR-588
641,miR-497-3p
642,miR-212
643,miR-133b
644,miR-490-3p
645,miR-181a
646,miR-15b
647,miR-485-5p
648,miR-181a-5p
649,miR-376
650,miR-758-3p
651,miR-154-3p
652,miR-940
653,miR-222-3p
654,miR-509-5p
655,miR-937-5p
656,miR-98-5p
657,miR-130a
658,miR-425-3p
659,miR-760
660,miR-199a-5p
661,miR-142-5p
662,miR-29b-3p
663,miR-338-3p
664,miR-449a
665,miR-328
666,miR-4766-5p
667,miR-196a-5p
668,miR-595
669,miR-671
670,miR-144-3p
671,miR-599
672,miR-146a-5p
673,miR-223
674,miR-211
675,miR-4428
676,miR-1306-5p
677,miR-634
678,miR-297
679,miR-539-5p
680,miR-128
681,miR-154-5p
682,miR-22-3p
683,miR-7
684,miR-369-3p
685,miR-92a
686,miR-7-5p
687,miR-27b
688,miR-34c-5p
689,miR-106a
690,miR-495
691,miR-411-3p
692,hsa-let-7f-5p
693,miR-608
694,miR-504
695,miR-550a-3p
696,miR-200c-3p
697,miR-25
698,miR-101-3p
699,miR-4784
700,miR-27a-3p
701,miR-361-3p
702,miR-301a
703,miR-3129-5p
704,miR-143-3p
705,miR-4735-3p
706,miR-30a-3p
707,miR-3156-5p
708,miR-503-5p
709,miR-216b-5p
710,miR-105-5p
711,miR-431
712,miR-449b
713,miR-2114-3p
714,miR-4518
715,miR-147a
716,miR-486
717,miR-765
718,miR-493-5p
719,miR-671-5p
720,miR-155-5p
721,miR-139-3p
722,miR-483-3p
723,miR-30e
724,miR-92a-3p
725,miR-300
726,miR-488-3p
727,miR-148b-3p
728,miR-196a
729,miR-299
730,miR-433-3p
731,miR-149
732,miR-15a
733,miR-223-5p
734,miR-181c-5p
735,miR-30a-5p
736,miR-135a-5p
737,miR-10a
738,miR-135b-5p
739,miR-381-3p
740,miR-140-3p
741,miR-326
742,miR-23b
743,miR-650
744,miR-150
745,miR-200c
746,miR-646
747,miR-146a
748,miR-330
749,miR-200a-3p
750,miR-1972
751,miR-876-3p
752,miR-129-5p
753,miR-17
754,miR-221
755,miR-380-3p
756,miR-200b
757,miR-874-3p
758,miR-431-5p
759,miR-27b-3p
760,miR-362-5p
761,miR-30
762,let-7i
763,miR-133a-3p
764,miR-1322
765,miR-222
766,miR-34a
767,miR-16-5p
768,miR-340
769,miR-10b
770,miR-199b-5p
771,miR-24-3p
772,miR-23b-3p
773,miR-197
774,miR-145
775,miR-513c
776,miR-125a-5p
777,let-7c
778,miR-1275
779,miR-539
780,miR-363-3p
781,miR-127-5p
782,miR-135b
783,miR-199a-3p
784,miR-375
785,miR-16-1-3p
786,miR-3163
787,miR-508-5p
788,miR-204-5p
789,miR-100-5p
790,miR-16
791,miR-130b-5p
792,miR-149-3p
793,miR-532-5p
794,miR-455-3p
795,miR-506
796,miR-365
797,miR-424-5p
798,miR-135a
799,miR-579-3p
800,miR-181a-2-3p
801,miR-590-3p
802,miR-515-3p
803,miR-21-5p
